no.	gen	evalFit	result	time(ms)
1	4209	30003	4	21455
2	4211	30007	4	20215
3	4210	30006	4	20463
4	4211	30007	4	18280
5	4215	30006	4	19755
6	4208	30001	4	17916
7	4212	30006	4	18407
8	4206	30001	4	17660
9	4205	30007	4	14524
10	4214	30003	4	26012
11	4213	30004	4	23183
12	4210	30005	4	18396
13	4213	30006	4	17233
14	4216	30003	4	16822
15	4208	30002	4	16010
16	4213	30006	4	17562
17	4213	30003	4	17375
18	4210	30007	4	17444
19	4208	30002	4	13061
20	4212	30004	4	13628
21	4211	30005	4	16051
22	4209	30007	4	14941
23	4214	30005	4	16036
24	1	12	3	3
25	4210	30004	4	15644
26	4213	30002	4	15806
27	4207	30006	4	14436
28	4211	30005	4	14535
29	4213	30007	4	15473
30	1	11	3	3
no.	gen	evalFit	result	time(ms)
1	4208	30006	4	29302
2	4205	30001	4	21718
3	4214	30007	4	21424
4	1	12	3	5
5	4204	30002	4	19722
6	4207	30004	4	20418
7	4212	30001	4	20359
8	4213	30005	4	19698
9	4214	30004	4	19959
10	4211	30004	4	18224
11	4215	30006	4	18223
12	4216	30005	4	17719
13	4214	30001	4	17433
14	4214	30001	4	18239
15	4208	30001	4	21659
16	4211	30003	4	15610
17	4215	30006	4	15930
